CONDACT,DESOCUP,DESOCUP,INACTIVO,INACTIVO,INACTIVO,INACTIVO,INACTIVO,INACTIVO,OCUPADO,OCUPADO,OCUPADO,OCUPADO
CAT_OCUP,Cta Propia,Obrero,,,,,,,Cta Propia,Obrero,,Patron
CAT_INAC,,,,Jubilado,Estudiante,Ama de casa,Otros,Rentista,,,,
area_0,,,,,,,,,,,,
Resto 1a Seccion,,2.210663198959688,,19.787602947550933,5.613350671868227,6.675335934113567,,,5.266579973992197,59.21109666233203,,
Resto 2a Seccion,,2.749792580301055,,20.054521749437004,5.215123859191656,6.6492829204693615,,,5.961834775394097,58.20789380111414,,
Resto 3a Seccion,,2.4133811230585422,,20.7168458781362,4.970131421744325,6.618876941457587,,,5.304659498207886,58.39904420549582,,
Resto 4a Seccion,,1.777631470660851,,20.38515348530985,5.826680931610567,6.954160151427866,,,6.402765204509917,57.32038515348531,,
Resto 5a Seccion,,2.5281344111586623,,20.676810905056268,5.650657790458076,7.259470597559043,,,5.706134094151213,56.585829766999524,,
Resto 6a Seccion,,2.8960987261146496,,20.516520700636942,5.314490445859873,6.513734076433121,0.6220143312101911,,6.210191082802548,56.961584394904456,,
Resto 7a Seccion,,,,21.676514032496307,5.723781388478582,7.717872968980798,,,6.129985228951256,55.83456425406204,,
almirante brown,,4.714511396975852,,14.928909952606634,5.935454750620627,7.946287519747235,0.5393816294290228,,4.254118709095012,60.8124576844956,0.23922365154592642,
avellaneda,,4.077825159914712,,18.97987739872068,5.373800639658849,5.943496801705757,0.5263859275053305,,5.650319829424307,58.52545309168443,,
azul,,3.306808134394341,,20.07073386383731,5.1458885941644565,5.977011494252873,,,6.348364279398762,57.59504862953139,,
bahia blanca,,4.1180671268745535,,18.971673411092596,7.569626279457272,5.736729350154725,0.41656748393239706,,5.6653177814806,56.45877965563755,,
balcarce,,3.1345565749235473,,20.489296636085626,6.243628950050969,7.747196738022426,,,5.73394495412844,54.689092762487256,,
baradero,,3.759662684469431,,19.430780042164443,5.481377371749824,8.959943780744904,,,5.200281096275474,55.44624033731553,,
bartolome mitre,,,,21.123872026251025,5.537325676784249,8.039376538146021,,,5.578342904019689,55.578342904019685,,
berazategui,,5.1019232983991705,,15.048562324849323,5.696955737264386,7.662482244999808,0.6410994663902645,,5.478137356520404,59.52627740028408,,
berisso,,4.996796925048046,,17.245355541319668,6.213965406790519,5.509288917360666,,,4.394618834080718,60.10249839846252,,
bolivar,,,,24.003951267698387,5.531774777741192,7.40862693447481,,,7.07935462627593,52.78235100428054,,
bragado,,,,22.42189659939176,6.027094277025159,7.934752557367984,,,5.971799834116672,54.13325960740946,,
brandsen,,,,16.292134831460675,5.358686257562662,8.81590319792567,,,,59.550561797752806,,
campana,,4.657951516689935,,17.3118416042645,5.178322122096713,7.678639421246351,,,5.2544739180099,58.21804797563143,,
canuelas,,3.669724770642202,,15.55045871559633,6.376146788990826,9.403669724770642,,,4.747706422018348,58.62385321100918,,
chacabuco,,,,22.635621699471915,4.488718194911185,6.240998559769563,,,6.457033125300048,56.769083053288526,,
chascomus,,3.042433947157726,,17.267147050974113,5.15078729650387,6.858820389645049,,,6.164931945556445,59.674406191619966,,
chivilcoy,,3.137458831686601,,20.679493846420524,4.229502513433871,5.980239209568383,,,7.176287051482059,57.89564915929971,,
colon,,,,18.649045521292216,5.677924620655898,7.782672540381792,,,7.391091532060695,55.2129221732746,,
comuna 01,,2.8046972979135787,,19.13692851442253,4.18424352981416,2.9244099874586706,,,6.105347166799681,63.28240793524114,,
comuna 02,,2.5210669266662022,1.1421408176056829,13.155512222299603,7.855700257678111,2.402674280938784,,,10.153910439445644,61.68953269726304,,0.7451772407549272
comuna 03,,3.212299231298044,,14.04287232047997,5.305918380101244,4.374726579588776,,,6.093369164427223,66.0021248671958,,
comuna 04,,3.7481764111771967,,16.12613623611267,5.1284928739759845,5.218269554483223,,,5.942094041072831,62.25451688923802,,
comuna 05,,3.721835184836503,,13.933345885897195,5.7427979664846545,3.376639678654365,,,5.203037720454403,66.59135128349965,,
comuna 06,,3.017909152878478,,16.799900848980602,6.661709115696846,3.2038173142467623,,,6.8662080932019585,61.57278304517568,,
comuna 07,,3.3988651344070613,,17.00578896085287,5.909325385453086,4.470682638849086,,,6.092738006534074,61.380179973634434,,
comuna 08,,4.082219347419865,,15.00646830530401,5.59149058502228,8.387235877533419,0.8408796895213454,,4.721862871927555,60.06899525657611,,
comuna 09,,3.189608269858542,,20.463819368879218,4.658596300326442,5.1550598476605005,,,6.290805223068553,58.8411316648531,,
comuna 10,,3.162398876780103,,19.683091529049943,5.3219228454904055,4.660025406164338,,,6.645717724142542,58.97573042722471,,
comuna 11,,2.5956047759127876,,18.763338524542885,5.300801753475226,4.233719790044414,,,6.667820268789295,60.719847724519816,,
comuna 12,,2.615107150434967,,19.61065138977297,5.092297899427116,3.829832378527477,,,6.110757479312539,61.03331211542542,,
comuna 13,,2.4448201800484393,,17.8951697664854,6.018370424530457,3.2765160169994973,,,6.662706210300233,62.116711602613904,,0.7357309326874742
comuna 14,,2.3517140012327533,,16.921909819354227,5.741785595751742,2.773694940970082,,0.48361860509221943,8.927978758712246,61.64240671376417,,
comuna 15,,2.7956086147939287,,17.00761893334933,5.231267622532846,3.71348011278421,,,6.23912652228688,63.27914092027116,,
coronel suarez,,,,20.636363636363637,4.878787878787879,4.787878787878788,,,5.9393939393939394,60.54545454545455,,
dolores,,,,21.713810316139767,6.78036605657238,6.572379367720466,,,6.114808652246256,54.5757071547421,,
ensenada,,5.051837888784166,,16.4373232799246,6.013195098963243,6.333647502356268,,,4.486333647502356,59.58529688972667,,
escobar,,4.428643413022787,,11.432730530205475,5.313252337495101,7.759923856447007,0.6494597167011925,,4.79816359666312,64.71082246234813,,
esteban echeverria,,5.138776724614273,,13.248607982318187,6.3501508904662725,8.067326901007354,0.6035618650911718,,4.530964423853445,61.100012751307005,,
exaltacion de la cruz,,4.06272273699216,,15.930149679258731,5.167498218104063,5.48823948681397,,,6.806842480399145,61.22594440484676,,
ezeiza,,4.8649142022636,,10.989412194231472,5.65899963490325,8.798831690397956,,,4.016064257028113,64.32092004381161,,
florencio varela,,4.9089543833302045,,12.755772479819786,6.58281709530067,9.41430448657781,0.757149114573556,,4.930855390776547,59.68963143733183,,
general alvarado,,3.850541928123217,,18.85339418140331,5.875641756988021,7.986309184255562,,,4.535082715345123,57.387335995436395,,
general pueyrredon,0.2131590166264033,4.410615319027995,,18.516413244280233,5.407133721756431,6.085689924683814,0.5879636208611624,,5.716214295864715,58.22083274122495,0.24690919425891716,0.2273696177348302
general rodriguez,,4.130694647363527,,12.617877540177979,5.246380661442423,9.855226457696904,,,5.179970779652012,61.654934254217025,,
general san martin,,3.709207292678745,,17.98022518145968,4.626507401268789,6.169629079270732,0.4429330742412985,,5.9753100531519685,60.2531862605018,,
general villegas,,,,17.009270455461508,4.796453043127771,9.109230149133413,,,5.078597339782346,60.66102378073357,,
hurlingham,,4.3077526474048895,,16.976075303961302,5.1117793175578505,6.366845339260034,,,4.379657471564911,61.713949535887046,,
ituzaingo,,4.141316371681416,,16.171183628318584,5.676161504424779,5.925055309734513,,,4.155143805309734,62.54839601769911,,
jose c. paz,,4.650950709041996,,13.141215630842186,5.772650585928594,9.274542884501392,0.7022023619533992,,4.194975149331996,61.33783229218914,,
junin,,2.74822695035461,,21.13728470111449,5.509118541033435,5.838399189463019,,,4.964539007092198,58.32066869300912,,
la costa,,3.4188034188034186,,19.900284900284902,4.914529914529915,9.772079772079772,,,4.615384615384615,55.370370370370374,,
la matanza,0.2354184238087735,4.051235946724996,0.22244260517364425,14.299352135912432,5.12452151668783,8.083935009685522,0.7062552714263205,,5.419257968542908,61.19859490421065,0.44117783359439444,0.11585552352793972
la plata,,3.8979814024879973,0.1927573221010548,16.971568294990096,7.08204679719431,4.3120526870013745,0.5140195256028128,,4.777882882078924,61.32003069838834,0.2730728729764943,0.3676667440075675
lanus,,4.4213231218824,,19.4941300952285,4.816848894039402,6.378797803194438,0.5391243009018996,,5.62301607295813,57.95838161938832,,
las flores,,,,25.508755324183625,5.63180312352106,6.247042120208235,,,5.395172740179839,52.957879791765265,,
lincoln,,,,23.651226158038146,5.994550408719346,6.430517711171662,,,6.1035422343324255,54.57765667574932,,
lobos,,,,23.008,5.632,6.656,,,6.24,55.104,,
lomas de zamora,,4.13280039778921,,16.50251486928417,5.446652259557459,6.915412419438122,0.732467631815487,,5.29748130581958,60.211516762607815,0.22758132685650903,
lujan,,3.4323134244100713,,20.289036919950323,5.49847578186745,4.990403071017274,,,5.543637800609687,58.72191486959467,,
malvinas argentinas,,4.93657867672266,,13.804136670094847,5.005142269454919,8.589494533958025,0.5675541842837009,,4.205233687578563,61.95101512208129,,
mar chiquita,,,,21.668099742046433,4.342218400687877,9.501289767841788,,,5.417024935511608,54.29922613929493,,
marcos paz,,4.037408759124087,,15.41970802919708,5.360401459854015,9.671532846715328,,,5.428832116788321,57.61861313868613,,
mercedes,,3.6184820931527186,,18.20374837632214,6.698830951939136,5.938021896455743,,,5.3442197068101684,58.76786045648544,,
merlo,0.2897640837418202,4.626566537077729,,14.225001811025523,6.099533962765316,9.101006930191003,0.7509719170308841,,4.749716272668003,59.43785767754087,0.2994228865332142,
moreno,,5.181598062953995,,12.676256943455348,5.919384703033756,9.192422731804585,0.6836632958268053,,4.694487964677396,60.763424013673266,0.3589232303090728,
moron,,4.120761196165403,,19.25883531263414,5.061525253970525,5.755472885963657,0.3970525110888539,,5.465731864358277,58.97124052081843,,0.4149377593360996
necochea,,3.669944830894699,,19.788918205804748,5.864715759174862,7.0520508515231475,,,5.924682177980331,55.6008635164308,,
nueve de julio,,,,21.328413284132843,5.608856088560886,6.100861008610086,,,6.223862238622386,56.752767527675275,,
olavarria,,3.1078803202697007,,20.42772861356932,5.899705014749262,7.069110830172777,,,5.541508638853772,56.89001264222503,,
patagones,,4.2419771302102545,,19.918849133161196,7.561785319070454,6.344522316488381,,,3.7255625230542235,56.5842862412394,,
pehuajo,,,,21.732831063459866,5.273833671399594,6.461895102868734,,,5.186902347145755,57.548536656041726,,
pergamino,,3.726499552372426,,20.859444941808416,5.0134288272157566,6.031781557743957,,,5.684870188003581,57.50895255147717,,
pilar,,4.359548697527791,,11.191305790608926,5.433880869420939,8.60295337647254,0.6719761075161772,,4.471544715447155,64.38111830097893,,
pinamar,,,,15.194474736459469,5.634314794620138,7.379134860050891,,,3.925845147219193,62.95892402762632,,
presidente peron,,4.721753794266442,,13.444734018089836,6.086156676375901,9.489498696918595,,,5.059021922428331,59.926414226582864,,
quilmes,0.22285762341266505,4.526532671768565,,17.534269615675722,5.468421495248507,7.211336304768312,0.7757968211252207,,5.613489193507695,57.879909175006304,0.24808678832730638,
ramallo,,,,11.868686868686869,3.86002886002886,12.085137085137085,,,,65.65656565656566,,
saladillo,,,,21.75976633807959,5.29390288426433,5.805038335158817,,,6.4622124863088715,57.758305951077034,,
salto,,,,21.501227639424762,4.945633111189056,7.856892318484742,,,5.612065941774816,56.225885654156436,,
san fernando,,4.175540006084575,,15.98722239123821,5.285975053240037,5.52935807727411,,,5.3468208092485545,62.08548828719197,,
san isidro,,3.4063856602716704,,16.870886430471923,5.969051953507912,4.8837697801428375,0.553143817392522,,5.429911777062036,61.85758297157261,,
san miguel,,4.109472610598784,,14.92924227614636,6.102588075304917,7.3095066083039395,0.5609621350558838,,4.61093876163359,61.54434575666143,,
san nicolas,,4.099619956335409,,19.713754346244038,6.654807148055308,8.191153877253983,,,5.061858170938788,54.73437373655697,,
san pedro,,4.3112297269554505,,19.154177786902075,5.337712995278177,7.431738862656538,,,5.5635393143091765,56.08704578115377,,
san vicente,,4.495813614852566,,16.345103749544958,6.607207863123407,9.04623225336731,,,4.204586821987623,57.60829996359665,,
tandil,,3.667845838763731,,18.35784770061441,5.911375907652206,5.641407559113759,,,5.7251908396946565,59.18823310370508,,
tigre,,4.3399109261727515,,13.130262345177336,5.354182243750203,7.151913136764084,0.594909138194467,,4.8567991937843376,63.77230909268229,,
trenque lauquen,,,,18.025078369905955,5.982236154649947,6.609195402298851,,,6.138975966562174,59.71786833855799,,
tres arroyos,,3.287027978869106,,19.702602230483272,5.14576403834866,5.947955390334572,,,6.202308745842301,58.3056153394639,,
tres de febrero,,3.576581110551921,,19.714812950847172,4.703908740144271,6.119778560644187,0.42610300285187047,,6.596208689817145,58.06072806576078,,
veinticinco de mayo,,,,24.878048780487806,4.943089430894309,7.869918699186992,,,5.8861788617886175,52.260162601626014,,
vicente lopez,,2.6378994504376143,,18.92937105638103,5.275798900875229,3.5986159169550174,0.6554040301241604,,6.065540403012416,61.5347038469367,,0.6024832078159984
villa gesell,,3.993231810490694,,16.6497461928934,4.500846023688664,8.934010152284264,,,5.177664974619289,58.34179357021996,,
villarino,,4.769230769230769,,18.076923076923077,6.538461538461538,8.73076923076923,,,6.461538461538462,53.61538461538461,,
zarate,,3.095714436137728,,17.2896704222386,5.443824365589133,9.150257976203012,,,5.391176160892914,58.039380857112775,,
