,,Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH)
,,25%,mediana,75%,electores
area_0,area_1,,,,
Resto 1a Seccion,general la madrid,6790,10500,14600,9500
Resto 1a Seccion,general las heras,7080,11540,17230,12900
Resto 1a Seccion,navarro,6580,10110,16130,14500
Resto 1a Seccion,suipacha,6510,10560,17020,9200
Resto 2a Seccion,capitan sarmiento,6510,11320,17180,12500
Resto 2a Seccion,carmen de areco,6590,10830,16600,12300
Resto 2a Seccion,rojas,6650,10830,16750,20300
Resto 2a Seccion,san andres de giles,6330,10360,16080,19300
Resto 2a Seccion,san antonio de areco,6850,11090,16620,19800
Resto 3a Seccion,ayacucho,6170,10880,16740,17400
Resto 3a Seccion,magdalena,6690,10800,16320,14900
Resto 3a Seccion,punta indio,7500,11730,17460,9500
Resto 4a Seccion,alberti,6600,11550,16860,9000
Resto 4a Seccion,carlos casares,6790,11390,16730,18500
Resto 4a Seccion,carlos tejedor,5800,10660,15570,9800
Resto 4a Seccion,florentino ameghino,6760,10090,16720,8000
Resto 4a Seccion,general arenales,6680,10800,15810,14600
Resto 4a Seccion,general pinto,6230,9730,15840,9700
Resto 4a Seccion,general viamonte,6640,11160,17250,15700
Resto 4a Seccion,hipolito yrigoyen,6320,10780,16860,8000
Resto 4a Seccion,leandro n. alem,6350,10550,16060,14400
Resto 4a Seccion,rivadavia,5820,10480,16350,14000
Resto 5a Seccion,castelli,6540,11210,16940,7600
Resto 5a Seccion,general belgrano,6690,11050,16250,15900
Resto 5a Seccion,general guido,4470,9090,14110,2400
Resto 5a Seccion,general juan madariaga,7120,11550,17150,17700
Resto 5a Seccion,general lavalle,5610,9660,16080,3800
Resto 5a Seccion,general paz,6350,10520,16470,10500
Resto 5a Seccion,loberia,6070,11090,16740,14300
Resto 5a Seccion,maipu,6030,10670,16020,9900
Resto 5a Seccion,monte,6430,10480,16840,18600
Resto 5a Seccion,pila,6660,11440,17450,3100
Resto 5a Seccion,rauch,6510,11310,17450,13600
Resto 5a Seccion,san cayetano,6380,11270,16980,7200
Resto 5a Seccion,tordillo,6270,11980,15560,1500
Resto 6a Seccion,adolfo alsina,6930,11630,17160,14300
Resto 6a Seccion,adolfo gonzales chaves,6570,10710,16380,10500
Resto 6a Seccion,benito juarez,6330,10940,16620,16900
Resto 6a Seccion,coronel de marina l. rosales,6520,12500,18730,19900
Resto 6a Seccion,coronel dorrego,6600,11240,17520,13800
Resto 6a Seccion,coronel pringles,6210,11310,17440,19600
Resto 6a Seccion,daireaux,6540,10680,16720,14500
Resto 6a Seccion,guamini,7010,11510,17450,9800
Resto 6a Seccion,laprida,6290,10970,16590,9400
Resto 6a Seccion,monte hermoso,6960,12000,18000,7800
Resto 6a Seccion,pellegrini,6880,12000,16710,5100
Resto 6a Seccion,puan,7200,11560,16620,14400
Resto 6a Seccion,saavedra,7060,12230,17930,18300
Resto 6a Seccion,salliquelo,6580,11270,17210,7800
Resto 6a Seccion,tornquist,7120,11720,17650,12400
Resto 6a Seccion,tres lomas,6270,11180,15410,6600
Resto 7a Seccion,general alvear,6380,11510,16500,8500
Resto 7a Seccion,roque perez,6390,10880,16140,10300
Resto 7a Seccion,tapalque,5670,9920,16060,8400
almirante brown,00017,8690,14720,23530,25300
almirante brown,00018,7190,11610,17140,31300
almirante brown,00019,6940,10990,16110,96600
almirante brown,00020,7280,12010,17770,33800
almirante brown,00021,6380,10490,15810,54800
almirante brown,00022,6130,10540,15680,40800
almirante brown,0018A,6080,9340,13740,52000
almirante brown,0020A,6410,9720,14540,26500
almirante brown,0021A,6030,9390,13500,13200
almirante brown,0022A,6540,10390,15230,53000
almirante brown,0022B,7450,11090,15520,15600
avellaneda,00023,8580,14220,19720,17000
avellaneda,00024,7490,12840,18160,10400
avellaneda,00025,6210,10860,17100,11300
avellaneda,00026,5250,8760,12590,5200
avellaneda,00027,6490,10520,16010,23800
avellaneda,00030,8610,13240,18450,6100
avellaneda,00031,7190,11870,16660,2500
avellaneda,00032,6730,11270,16390,4200
avellaneda,00033,8850,13480,18690,11900
avellaneda,00034,8030,12400,17820,22200
avellaneda,00037,7450,12240,17700,21400
avellaneda,00038,7400,11800,17230,37900
avellaneda,00039,7090,11160,16480,55800
avellaneda,00040,7670,12620,18040,70600
azul,00060,6580,11580,17540,49900
azul,00061,7250,11210,13140,100
azul,00062,7060,10500,16060,3000
azul,00063,9580,12840,16100,0
azul,00064,17890,17890,17890,0
azul,00065,11130,13120,15550,0
azul,00066,8780,10960,19980,100
azul,00067,6570,11050,16180,3200
azul,00068,4280,8460,14770,0
azul,00069,14560,15730,16900,0
azul,0062A,2820,8950,14080,100
azul,0062B,8110,8300,13620,100
bahia blanca,00072,8250,14460,19920,10600
bahia blanca,00073,7120,12510,19110,29600
bahia blanca,00074,5750,11180,17120,19900
bahia blanca,00075,5900,11430,18220,8700
bahia blanca,00076,6290,11390,17300,36800
bahia blanca,00077,6440,11390,17940,3800
bahia blanca,00078,7600,13490,20290,5000
bahia blanca,00079,7330,11760,17620,5700
bahia blanca,00080,6890,11190,15760,2200
bahia blanca,00083,8770,15170,24330,12200
bahia blanca,00084,8710,14320,20840,11200
bahia blanca,00085,7250,13110,19720,26500
bahia blanca,00086,6610,12500,18230,23500
bahia blanca,00087,6690,11230,17090,16900
bahia blanca,00088,6350,10750,15600,5800
bahia blanca,00089,7600,14080,22700,8500
bahia blanca,00090,2330,2710,12850,0
bahia blanca,00091,5950,9620,13910,11000
bahia blanca,00092,6490,10990,16670,9800
bahia blanca,00093,6550,10810,16810,4400
balcarce,00098,6060,10780,17240,36900
balcarce,00099,820,8660,11400,600
balcarce,00100,8230,11290,19610,300
balcarce,00101,7840,9540,13170,500
balcarce,00102,13660,17430,24900,200
balcarce,00103,7490,14020,18200,200
balcarce,00104,8670,13130,23170,200
balcarce,0103A,5100,9960,16910,300
baradero,00105,5900,10680,16950,23600
baradero,00106,6630,11770,16670,400
baradero,00107,4160,8380,14730,2400
baradero,00108,190,12680,13750,100
baradero,00109,11550,13100,13810,0
baradero,00110,5840,8720,11750,500
baradero,00111,6030,8860,12660,200
baradero,00113,6200,9800,13770,1200
baradero,00114,5350,9250,13570,0
bartolome mitre,00117,6500,10730,16450,23100
bartolome mitre,00118,6360,11660,17240,600
bartolome mitre,00120,7890,8740,17690,500
bartolome mitre,0117A,10480,14210,16900,100
bartolome mitre,0117B,2660,11010,14340,100
berazategui,00789,6600,11190,16370,45900
berazategui,00790,6730,11910,18130,20500
berazategui,00792,6450,10770,16700,22600
berazategui,0789A,6030,10730,16360,29300
berazategui,0789B,6940,11970,17490,15600
berazategui,0789C,7520,12740,18700,18200
berazategui,0789D,5850,10140,15430,17900
berazategui,0789E,6660,11920,17320,15400
berazategui,0789F,8020,12960,18470,12600
berazategui,0790A,5950,10310,15500,9500
berazategui,0792A,6900,10550,15770,14800
berazategui,0792B,6250,10420,15610,8900
berazategui,0792C,6570,10420,15490,14600
berazategui,0792D,5720,10180,16100,14700
berisso,00511,5950,10510,16200,5800
berisso,00512,6330,10860,16040,22300
berisso,00513,6700,11280,16390,29100
berisso,0513A,6440,10500,16510,20900
bolivar,00125,6630,11720,17930,25800
bolivar,00126,4590,9280,13720,0
bolivar,00127,7380,10320,16790,300
bolivar,00128,4440,5610,7760,100
bolivar,00129,10270,13780,17450,100
bolivar,00130,15900,15900,15900,0
bolivar,00131,7050,11300,16490,100
bolivar,00132,6490,10290,14170,2500
bolivar,00133,6080,9860,14620,1400
bolivar,0125A,8190,12200,17670,0
bolivar,0131A,7290,8990,12540,100
bragado,00136,6300,11570,17840,31000
bragado,00137,7450,10820,16370,1100
bragado,00138,9560,10970,13000,100
bragado,00139,8720,9990,11260,0
bragado,00140,6280,9650,13720,600
bragado,00141,6210,8420,10920,200
bragado,00142,6240,6240,9930,100
bragado,00143,5770,9710,14250,2200
bragado,00144,4740,9670,14390,400
bragado,00145,5330,9070,14250,400
brandsen,00148,6220,10770,16230,19200
brandsen,00149,7820,16730,23550,200
brandsen,00150,7110,10130,14620,2100
brandsen,00151,5040,9290,14320,900
brandsen,00152,6530,12290,17920,300
brandsen,00153,8210,9910,11320,300
brandsen,0153A,7470,8570,11860,200
campana,00155,8080,13500,19200,21100
campana,00156,5360,8890,13490,14100
campana,0155A,7190,12500,18830,17100
campana,0156A,6600,11190,16560,15300
campana,0156B,6440,10030,15980,11200
canuelas,00157,6480,11090,17240,29200
canuelas,00158,7110,11280,16490,3200
canuelas,00159,6490,9430,14430,1200
canuelas,00160,7270,9490,11830,100
canuelas,00161,8300,8300,8300,0
canuelas,00162,5460,7630,13790,200
canuelas,0158A,4860,9060,13480,5800
canuelas,0158B,5220,8950,13380,4000
chacabuco,00189,6620,10950,16740,37400
chacabuco,00190,6850,12550,19280,1200
chacabuco,00191,4970,8780,11850,100
chacabuco,00192,11570,12460,12620,0
chacabuco,00193,9520,12130,18470,100
chacabuco,00194,1800,8140,19420,100
chacabuco,00195,6080,11930,14140,100
chacabuco,00196,6950,12940,18900,100
chacabuco,00197,6180,9460,13130,1900
chacabuco,00198,7460,10620,14230,600
chacabuco,0196A,8320,12920,17480,100
chascomus,00201,6600,11400,17170,28400
chascomus,00202,4590,13840,20360,700
chascomus,00203,5250,8670,15260,3000
chascomus,00204,6910,12740,13770,200
chascomus,00205,8640,12180,17050,100
chascomus,00206,9780,16730,20210,100
chascomus,00208,320,3900,7640,0
chascomus,00209,7760,16440,21480,200
chascomus,0207L,5690,12120,17970,4800
chascomus,0209A,7210,7210,7210,0
chivilcoy,00211,6920,11530,17410,53800
chivilcoy,00212,9320,12060,13560,100
chivilcoy,00213,18140,18140,18140,0
chivilcoy,00214,11770,12600,13430,0
chivilcoy,00215,6960,11130,27490,100
chivilcoy,00216,7820,8340,10400,200
chivilcoy,00217,4390,4390,4390,0
chivilcoy,00218,8950,13380,16830,400
chivilcoy,00219,14230,14540,33910,100
chivilcoy,00220,6740,10660,12650,200
chivilcoy,00221,7860,10660,15320,200
chivilcoy,00222,6660,11110,14260,2200
chivilcoy,00223,43050,74960,106880,0
chivilcoy,00224,8480,9900,12470,300
chivilcoy,00225,22880,39030,55170,0
chivilcoy,00226,12010,12350,14850,100
colon,00230,6440,10310,16700,19900
colon,00231,9050,12570,16470,200
colon,0230A,7700,11690,16530,100
colon,0231A,10390,11640,14420,200
comuna 01,00001,9430,14450,23540,10500
comuna 01,00002,11590,16680,23730,10000
comuna 01,00003,5660,9080,12660,2200
comuna 01,00005,6050,9410,13250,8000
comuna 01,00006,10300,16070,24370,15800
comuna 01,00007,16660,16660,36560,8100
comuna 01,00008,17350,17350,17350,8800
comuna 01,00009,9040,16170,29500,11400
comuna 01,00010,6050,10830,21750,11800
comuna 01,00011,10760,17400,25830,12400
comuna 01,00012,8610,13240,17670,11200
comuna 01,00013,10610,16060,23200,12500
comuna 01,00014,9560,14520,18900,5100
comuna 01,00015,11370,15160,23190,8500
comuna 01,00016,8180,14470,21920,8300
comuna 01,00017,9590,14720,21430,12100
comuna 01,00018,8090,15030,22110,7500
comuna 01,00019,8500,13230,19460,11200
comuna 02,00020,8170,12300,19780,7700
comuna 02,00021,12890,17630,27630,13600
comuna 02,00022,8970,15600,24790,15900
comuna 02,00023,11210,17750,28440,20300
comuna 02,00024,11240,18590,27240,13300
comuna 02,00025,11020,20330,31650,12900
comuna 02,00026,6810,13660,19130,16900
comuna 02,00027,6730,15320,21230,12900
comuna 02,00028,11710,16230,26770,18000
comuna 02,00029,11100,16420,25540,12000
comuna 03,00030,10320,15190,23400,11500
comuna 03,00031,7500,13470,18750,12700
comuna 03,00032,11230,18000,24030,11000
comuna 03,00033,10120,15130,20640,9300
comuna 03,00034,11830,19030,22750,13900
comuna 03,00035,9140,14320,21070,12900
comuna 03,00036,9580,13990,19960,8500
comuna 03,00037,8980,15270,22750,11200
comuna 03,00038,8590,13970,20550,12800
comuna 03,00039,11940,17510,23220,13400
comuna 03,00040,7940,14580,22270,9100
comuna 03,00041,9170,14500,20940,17800
comuna 03,00042,8970,14730,21170,16000
comuna 04,00043,8680,13970,20770,12200
comuna 04,00044,8680,14250,20690,9100
comuna 04,00045,9050,13770,19080,7000
comuna 04,00046,9030,15160,21590,6000
comuna 04,00047,5880,9300,13180,14700
comuna 04,00048,8190,13100,20270,14600
comuna 04,00049,8290,13370,18960,12300
comuna 04,00050,9610,15300,24780,14100
comuna 04,00051,8840,13610,19870,10200
comuna 04,00052,8300,13130,19280,11800
comuna 04,00053,6910,12170,18410,14400
comuna 04,00054,8620,14850,20460,14800
comuna 04,00055,7730,12580,17710,9700
comuna 04,00056,7760,12260,18410,8900
comuna 04,00057,8630,13860,19860,18500
comuna 05,00058,9450,14330,20580,14400
comuna 05,00059,9040,14820,21580,13300
comuna 05,00060,10280,15990,22820,15700
comuna 05,00061,9680,15770,24230,15200
comuna 05,00062,8990,15130,21500,10200
comuna 05,00063,8980,14660,23240,20400
comuna 05,00064,10870,15510,22450,22300
comuna 05,00065,9430,15190,22860,13900
comuna 05,00066,10470,15540,24180,13300
comuna 05,00067,9080,14920,21670,20700
comuna 06,00068,10430,15610,26970,20100
comuna 06,00069,9390,15800,24230,29300
comuna 06,00070,9660,15170,23400,26200
comuna 06,00071,9970,16440,24750,31200
comuna 06,00072,8440,14330,22100,13500
comuna 06,00073,9210,14980,23410,17500
comuna 06,00074,9590,14750,24320,23600
comuna 07,00075,9430,14600,22570,10300
comuna 07,00076,9560,14690,21320,16200
comuna 07,00077,8770,14030,20470,13500
comuna 07,00078,8930,13990,20270,10800
comuna 07,00079,9270,14750,21540,14300
comuna 07,00080,9170,14560,21400,13100
comuna 07,00081,8470,14530,22260,12500
comuna 07,00082,9400,14410,21230,14800
comuna 07,00083,10390,16500,23070,21300
comuna 07,00084,9090,14130,19220,10900
comuna 07,00085,9490,14490,22350,8000
comuna 07,00086,7060,11410,16130,28700
comuna 08,00087,6660,10820,15990,30100
comuna 08,00088,9100,13780,19760,16100
comuna 08,00089,6670,11060,16120,47000
comuna 08,00090,6460,10820,16080,45900
comuna 09,00091,5920,10240,14490,8800
comuna 09,00092,8640,13720,19560,13600
comuna 09,00093,8580,13850,20160,8400
comuna 09,00094,9520,14710,20920,11000
comuna 09,00095,9480,14480,20810,17300
comuna 09,00096,7850,12940,18800,11900
comuna 09,00097,8310,13800,18480,11900
comuna 09,00098,8570,14120,20720,22100
comuna 09,00099,9400,14740,20320,11000
comuna 09,00100,9160,14360,21200,13900
comuna 09,00101,8700,13390,19950,17100
comuna 10,00102,8920,14430,22770,13200
comuna 10,00103,9920,14700,20500,12800
comuna 10,00104,9460,14050,20340,12300
comuna 10,00105,9520,14460,21600,18700
comuna 10,00106,8170,13650,20250,11400
comuna 10,00107,8190,13860,20900,19100
comuna 10,00108,8880,14600,21710,12100
comuna 10,00109,9180,14600,20890,19300
comuna 10,00110,8910,14180,21360,10200
comuna 10,00111,8360,13710,21680,11900
comuna 10,00112,8410,13780,20540,8500
comuna 11,00113,8700,14040,20750,12900
comuna 11,00114,9330,14470,20780,16900
comuna 11,00115,9220,14460,20920,12300
comuna 11,00116,9680,14920,21230,17500
comuna 11,00117,8910,14230,21020,18400
comuna 11,00118,9360,15110,22700,14500
comuna 11,00119,9120,14660,21850,18100
comuna 11,00120,8780,15000,22530,19200
comuna 11,00121,8320,14060,20360,15500
comuna 11,00122,8950,15070,24340,13800
comuna 11,00123,9320,15030,21900,14400
comuna 12,00124,8660,14440,22030,16200
comuna 12,00125,9100,14610,21420,21500
comuna 12,00126,8850,14610,21480,17900
comuna 12,00127,9270,15740,22750,24000
comuna 12,00128,9640,14920,21910,19500
comuna 12,00129,9530,15340,24310,25400
comuna 12,00130,10150,15580,23860,17700
comuna 12,00131,9590,15370,20900,5700
comuna 12,00132,8810,14060,21840,20200
comuna 12,00133,8870,14810,23000,20600
comuna 13,00134,9390,15610,25000,8800
comuna 13,00135,9520,15190,23680,11700
comuna 13,00136,9850,17610,27810,14700
comuna 13,00137,9790,15700,23590,14000
comuna 13,00138,10830,16640,26410,29000
comuna 13,00139,11550,18780,27220,18400
comuna 13,00140,9800,14650,21050,8500
comuna 13,00141,9620,16020,25790,14600
comuna 13,00142,11970,21910,39540,24700
comuna 13,00143,10790,16930,27250,18300
comuna 13,00144,11240,18400,33620,8100
comuna 13,00145,10300,15960,25210,15300
comuna 13,00146,10660,15300,25350,11700
comuna 13,00147,10330,18890,26030,21000
comuna 14,00148,11240,18020,30770,22700
comuna 14,00149,8940,15520,23470,25400
comuna 14,00150,13930,22540,46040,13200
comuna 14,00151,10390,18180,29190,26500
comuna 14,00152,11190,16410,30200,20600
comuna 14,00153,11250,17000,27280,24400
comuna 14,00154,8950,16460,24190,27500
comuna 14,00155,9720,15300,24180,24100
comuna 14,00156,9360,14690,25340,10000
comuna 14,00157,10120,16430,24820,16400
comuna 15,00158,10180,15570,22680,20000
comuna 15,00159,8980,15330,21230,12200
comuna 15,00160,9840,15150,22000,23500
comuna 15,00161,9310,14730,22370,20400
comuna 15,00162,8530,13590,19640,17100
comuna 15,00163,8800,15050,22180,12400
comuna 15,00164,8270,12480,19210,11900
comuna 15,00165,10250,15720,23430,19900
comuna 15,00166,9410,14840,21600,16300
comuna 15,00167,8890,14530,21340,13000
coronel suarez,00252,6900,11980,17510,22600
coronel suarez,00253,6470,10020,14170,1700
coronel suarez,00254,7220,10940,15660,4400
coronel suarez,00255,7680,10210,12470,0
coronel suarez,00256,7790,10040,12530,0
coronel suarez,00257,750,750,750,0
coronel suarez,00258,10260,11930,14560,200
coronel suarez,0255A,3730,6890,10050,0
coronel suarez,0256A,8650,12780,17480,200
coronel suarez,0258A,6900,10570,14890,2100
coronel suarez,0258B,5940,11140,15330,1700
coronel suarez,0258C,6550,8570,11760,200
dolores,00282,6210,10750,16830,23800
dolores,00283,8130,13220,13990,100
dolores,00285,4030,8110,17880,200
ensenada,00490,6390,10680,17070,11800
ensenada,00491,6440,11330,16950,31800
ensenada,00492,6680,8260,14940,200
ensenada,0491A,5690,9050,14860,9300
escobar,00773,6650,10410,15800,22700
escobar,00774,7180,11470,17970,54600
escobar,00775,6650,11780,18630,17000
escobar,0773A,6550,10410,15360,62900
escobar,0773B,7010,10350,14710,21200
escobar,0775A,8940,30930,53140,100
esteban echeverria,00286,6380,9420,12860,3700
esteban echeverria,00287,6540,10450,15660,22400
esteban echeverria,00288,7710,12830,19430,36600
esteban echeverria,00291,7390,12060,17990,14900
esteban echeverria,0286A,5840,9170,13220,33800
esteban echeverria,0287A,6900,10770,15560,16700
esteban echeverria,0287B,7210,12650,21970,4700
esteban echeverria,0287C,6050,9930,14550,14200
esteban echeverria,0287D,5790,9310,14100,20800
esteban echeverria,0288A,7590,12960,20560,18900
esteban echeverria,0288B,5440,9660,14300,28100
esteban echeverria,0291A,6730,10810,15490,20500
exaltacion de la cruz,00292,6680,11830,18040,10400
exaltacion de la cruz,00293,6560,10150,16790,10000
exaltacion de la cruz,00294,7050,11580,18370,2000
exaltacion de la cruz,00295,7300,11420,19100,4500
exaltacion de la cruz,00296,6300,8320,14960,400
exaltacion de la cruz,00297,8370,9630,14340,500
exaltacion de la cruz,00298,6500,13510,16810,300
ezeiza,00289,6920,11240,16520,47500
ezeiza,00290,6030,9630,14230,31300
ezeiza,0290A,6390,9920,14560,30800
florencio varela,00302,6190,10430,15590,117500
florencio varela,00303,6640,9700,13880,4000
florencio varela,0302A,5800,9110,13170,39900
florencio varela,0302B,5270,8660,13660,23200
florencio varela,0302C,6050,10140,14650,31800
florencio varela,0302D,6030,9490,14190,17400
florencio varela,0302E,5430,8800,13470,46800
florencio varela,0302F,6080,9340,13530,5500
florencio varela,0303A,5380,9360,14260,8700
florencio varela,0303B,6240,9430,13510,24900
general alvarado,00305,6360,11500,17620,26900
general alvarado,00306,5900,9930,15540,6000
general alvarado,00307,6550,10200,16080,1500
general alvarado,00308,8020,14210,20220,600
general alvarado,00309,8270,12360,19620,100
general pueyrredon,00364,7290,12390,18180,135500
general pueyrredon,00365,6790,11610,17490,119500
general pueyrredon,00366,9680,15440,24550,88500
general pueyrredon,00367,8830,14510,21720,72500
general pueyrredon,00368,6170,10140,14930,21700
general pueyrredon,00369,6760,10730,17210,6200
general pueyrredon,00370,6380,10130,15980,58200
general pueyrredon,0366A,8790,13860,19780,60900
general rodriguez,00374,6210,10070,15350,75300
general san martin,00376,8690,13850,19790,32700
general san martin,00377,7740,13060,19310,36000
general san martin,00378,7270,12340,18070,33300
general san martin,00379,8270,13710,18520,22100
general san martin,00380,8680,13600,18620,16400
general san martin,00381,7090,11150,16160,46800
general san martin,00382,9220,14170,19430,6400
general san martin,00383,8590,13520,20020,8900
general san martin,00384,7660,12140,17200,17700
